mapping, replan, sfc, mpc, df, 
0, 0.000426, 0.027574, 3.48048, 0.009148, 
7.02254, 0.000204, 0.005426, 3.88676, 0.007148, 
0, 0.000222, 0.006277, 3.51226, 0.006463, 
0, 0.000481, 0.005648, 3.48052, 0.006315, 
0, 0.000222, 0.005388, 3.21624, 0.006907, 
0, 0.000185, 0.005056, 3.58578, 0.006649, 
0, 0.000222, 0.005019, 5.18495, 0.007945, 
0, 0.000333, 0.00813, 3.69461, 0.006333, 
0, 0.000203, 0.006, 3.24654, 0.006796, 
0, 0.000185, 0.005703, 3.58891, 0.006222, 
0, 0.000185, 0.006055, 4.75665, 0.012222, 
0, 0.000519, 0.005796, 4.06902, 0.007963, 
8.52139, 0.026408, 0.006833, 3.00713, 0.006445, 
0, 0.000222, 0.005981, 3.44098, 0.006797, 
0, 0.000426, 0.005408, 2.90004, 0.006148, 
0, 0.000204, 0.010593, 3.13802, 0.007963, 
0, 0.000185, 0.005685, 2.91154, 0.012112, 
0, 0.000278, 0.007, 4.72619, 0.010537, 
0, 0.000204, 0.005834, 3.61317, 0.009648, 
0, 0.000204, 0.005444, 3.4962, 0.008315, 
0, 0.000389, 0.005889, 3.22411, 0.006408, 
0, 0.000445, 0.006407, 3.53202, 0.00713, 
9.36604, 0.000445, 0.009907, 4.16309, 0.006222, 
0, 0.000352, 0.006352, 5.70322, 0.006278, 
0, 0.000259, 0.046333, 4.27015, 0.028612, 
0, 0.000296, 0.006555, 8.71443, 0.311111, 
0, 0.000241, 0.005408, 4.9383, 0.008833, 
0, 0.000204, 0.00576, 3.90602, 0.006463, 
0, 0.000222, 0.112481, 6.88011, 0.006129, 
0, 0.000278, 0.006259, 3.81359, 0.006611, 
0, 0.000241, 0.005685, 4.44169, 0.006055, 
0, 0.000222, 0.008352, 4.17193, 0.006426, 
6.63228, 0.000185, 0.005444, 3.28583, 0.00637, 
0, 0.000222, 0.005593, 3.95013, 0.007759, 
0, 0.000203, 0.0055, 3.33376, 0.006759, 
0, 0.000204, 0.005685, 3.36343, 0.006574, 
0, 0.000259, 0.005592, 3.62667, 0.011481, 
0, 0.000222, 0.005981, 3.66193, 0.00937, 
0, 0.000222, 0.005463, 4.33981, 0.03413, 
0, 0.000204, 0.005649, 4.5772, 0.006371, 
0, 0.00037, 0.006, 4.0737, 0.017, 
11.7694, 0.000222, 0.005759, 7.53402, 0.006815, 
0, 0.000222, 0.004871, 3.66804, 0.006074, 
0, 0.000222, 0.005074, 3.2998, 0.006704, 
0, 0.000186, 0.005833, 3.40078, 0.006148, 
0, 0.000222, 0.005426, 3.41891, 0.006259, 
0, 0.000223, 0.005703, 4.06793, 0.014703, 
